source,model,symbol,direction,is_live,ts_in_utc,ts_out_utc,ts_in_wita,ts_out_wita,date_entry_utc,date_entry_wita,entry,exit,tp,sl,outcome,net_pnl,modal_used,signal_confidence,hold_bars,status,is_win
live_db,ic32_regime_v1,ETHUSDT,LONG,1,2026-06-08T20:05:12.640573+00:00,2026-06-08T23:08:49.979899+00:00,2026-06-09 04:05:12,2026-06-09 07:08:49,2026-06-08,2026-06-09,1686.50283,1709.194975,1718.413288095148,1656.942385476213,guardian_exit,0.3324,5.0,0.74,3,closed,True
live_db,ic32_regime_v1,ARBUSDT,LONG,1,2026-06-08T21:05:16.689494+00:00,2026-06-08T23:18:49.781413+00:00,2026-06-09 05:05:16,2026-06-09 07:18:49,2026-06-08,2026-06-09,0.08324159999999999,0.08205895,0.08522071138914081,0.08175726645814436,guardian_exit,-0.3592,5.0,0.7565,2,closed,False
live_db,ic32_regime_v1,TAOUSDT,SHORT,1,2026-06-08T22:05:31.310701+00:00,2026-06-09T00:23:49.768913+00:00,2026-06-09 06:05:31,2026-06-09 08:23:49,2026-06-08,2026-06-09,216.39175,211.94592,210.41,221.01696881536816,guardian_exit,0.5096,5.0,0.6302,2,closed,True
live_db,ic32_regime_v1,AVAXUSDT,SHORT,1,2026-06-09T05:05:04.982810+00:00,2026-06-09T10:45:46.077290+00:00,2026-06-09 13:05:04,2026-06-09 18:45:46,2026-06-09,2026-06-09,6.7536215,6.673335,6.584,6.922366010876632,guardian_exit,0.2932,5.0,0.6374,5,closed,True
live_db,ic32_regime_v1,ETHUSDT,LONG,1,2026-06-09T05:05:13.889039+00:00,2026-06-09T09:08:49.630883+00:00,2026-06-09 13:05:13,2026-06-09 17:08:49,2026-06-09,2026-06-09,1687.4332949999998,1671.1040300000002,1724.5676445781733,1643.8064126054567,guardian_exit,-0.2459,5.0,0.7155,4,closed,False
live_db,ic32_regime_v1,TONUSDT,SHORT,1,2026-06-09T05:05:16.974013+00:00,2026-06-09T07:08:49.803489+00:00,2026-06-09 13:05:16,2026-06-09 15:08:49,2026-06-09,2026-06-09,1.7361315000000002,1.7694842999999998,1.6681,1.8015864947978633,guardian_exit,-0.4843,5.0,0.7041,2,closed,False
live_db,ic32_regime_v1,ADAUSDT,LONG,1,2026-06-09T07:05:28.246059+00:00,2026-06-09T09:33:49.417568+00:00,2026-06-09 15:05:28,2026-06-09 17:33:49,2026-06-09,2026-06-09,0.16998495,0.16691650000000002,0.17486541075262318,0.1636798848118442,guardian_exit,-0.4553,5.0,0.7538,2,closed,False
live_db,ic32_regime_v1,ONDOUSDT,SHORT,1,2026-06-09T11:05:26.344725+00:00,2026-06-09T15:00:46.242013+00:00,2026-06-09 19:05:26,2026-06-09 23:00:46,2026-06-09,2026-06-09,0.3630184,0.36168075,0.3501865048497281,0.378007973787568,guardian_exit,0.0881,5.0,0.6437,3,closed,True
live_db,ic32_regime_v1,AVAXUSDT,SHORT,1,2026-06-09T13:05:03.876296+00:00,2026-06-09T15:01:23.019566+00:00,2026-06-09 21:05:03,2026-06-09 23:01:23,2026-06-09,2026-06-09,6.7236365000000005,6.599,6.605147289285299,6.8186223026786745,manual_close,0.4594,5.0,0.628,1,closed,True
live_db,ic32_regime_v1,HBARUSDT,LONG,1,2026-06-09T13:05:25.741262+00:00,2026-06-09T14:30:46.300860+00:00,2026-06-09 21:05:25,2026-06-09 22:30:46,2026-06-09,2026-06-09,0.08072034,0.07949110950887206,0.08179684021461907,0.07953087494634523,sl_hit,-0.3847,5.0,0.7785,1,closed,False
live_db,ic32_regime_v1,BNBUSDT,SHORT,1,2026-06-09T18:05:10.556236+00:00,2026-06-09T20:05:46.492379+00:00,2026-06-10 02:05:10,2026-06-10 04:05:46,2026-06-09,2026-06-10,591.86392,597.8487749999999,582.1030659910583,603.0902135022354,guardian_exit,-0.2568,5.0,0.6554,2,closed,False
live_db,ic32_regime_v1,TONUSDT,SHORT,1,2026-06-09T20:05:13.784141+00:00,2026-06-10T02:15:46.514295+00:00,2026-06-10 04:05:13,2026-06-10 10:15:46,2026-06-09,2026-06-10,1.7107442000000002,1.6802397,1.6504371904185455,1.7773767523953636,guardian_exit,0.4418,5.0,0.7512,6,closed,True
live_db,ic32_regime_v1,TAOUSDT,SHORT,1,2026-06-09T20:05:33.971657+00:00,2026-06-09T22:50:46.481394+00:00,2026-06-10 04:05:33,2026-06-10 06:50:46,2026-06-09,2026-06-10,210.45472,206.453175,204.16788620194927,218.6517084495127,guardian_exit,0.4713,5.0,0.7381,2,closed,True
live_db,ic32_regime_v1,XRPUSDT,SHORT,1,2026-06-09T21:05:15.683224+00:00,2026-06-10T00:45:46.524320+00:00,2026-06-10 05:05:15,2026-06-10 08:45:46,2026-06-09,2026-06-10,1.1412290999999999,1.128564,1.1181,1.1714758317110323,guardian_exit,0.2734,5.0,0.7188,3,closed,True
live_db,ic32_regime_v1,ETHUSDT,SHORT,1,2026-06-09T23:05:10.739201+00:00,2026-06-10T02:38:16.217894+00:00,2026-06-10 07:05:10,2026-06-10 10:38:16,2026-06-09,2026-06-10,1638.4103850000001,1624.6018949999998,1609.2053654494794,1670.2812548876302,guardian_exit,0.2067,5.0,0.6578,3,closed,True
