Opened,Closed,Coin,Model,Direction,Conf,Entry,Exit,TP,SL,ATR,% to H4Hi,% to H4Lo,RR,H4 Trend,Vol Regime,H4 High,H4 Low,Qty,Leverage,PnL ($),PnL (%),Exit Reason,Hold Bars,Status
2026-06-11 08:05,2026-06-11 17:31,1000PEPEUSDT,ic32_regime_v1,SHORT,0.68,0.00276212,0.00280100,0.00268940,0.00281463,0.00003166,+1.3,+2.6,1.38,UP,0.08,0.00279880,0.00268940,5.0000,5.0,-0.36,-7.1,guardian_exit,9,closed
2026-06-11 08:05,2026-06-11 17:31,SUIUSDT,ic32_regime_v1,SHORT,0.75,0.749125,0.758479,0.726100,0.766235,0.00887069,+1.7,+3.1,1.35,UP,0.07,0.761800,0.726100,5.0000,5.0,-0.32,-6.3,guardian_exit,9,closed
2026-06-11 02:05,2026-06-11 04:56,ARBUSDT,ic32_regime_v1,LONG,0.78,0.078619,0.080870,0.081110,0.074898,0.00124362,+3.2,+3.9,0.67,DOWN,0.07,0.081110,0.075520,5.0000,5.0,+0.71,+14.2,guardian_momentum_exit,2,closed
2026-06-11 01:05,2026-06-11 03:46,TAOUSDT,ic32_regime_v1,SHORT,0.64,203.3983,207.0135,196.5884,212.2925,3.4049,+3.5,+2.9,0.77,DOWN,0.08,210.5900,197.4900,5.0000,5.0,-0.45,-9.0,guardian_exit,2,closed
2026-06-11 01:05,2026-06-11 03:56,AVAXUSDT,ic32_regime_v1,SHORT,0.69,6.4548,6.6248,6.2810,6.6215,0.086910,+1.9,+2.5,1.04,DOWN,0.15,6.5780,6.2920,5.0000,5.0,-0.66,-13.2,sl_hit,2,closed
2026-06-10 19:05,2026-06-10 21:06,1000SHIBUSDT,ic32_regime_v1,LONG,0.74,0.00467634,0.00459970,0.00477824,0.00459053,0.00005095,+2.0,+1.3,1.19,UP,0.07,0.00477000,0.00461600,5.0000,5.0,-0.41,-8.3,guardian_exit,2,closed
2026-06-10 17:05,2026-06-10 19:06,XRPUSDT,ic32_regime_v1,SHORT,0.73,1.1166,1.1038,1.0905,1.1434,0.013095,+1.8,+1.5,0.98,DOWN,0.12,1.1369,1.1002,5.0000,5.0,+0.28,+5.7,guardian_exit,2,closed
2026-06-10 07:05,2026-06-10 09:13,LINKUSDT,ic32_regime_v1,SHORT,0.62,7.7361,7.6708,7.5993,7.9052,0.068392,+1.7,+1.2,0.81,DOWN,0.06,7.8710,7.6450,5.0000,5.0,+0.21,+4.1,guardian_exit,2,closed
2026-06-10 07:05,2026-06-10 09:13,ETHUSDT,ic32_regime_v1,SHORT,0.72,1631.73,1618.31,1605.09,1652.93,13.3212,+0.9,+1.1,1.26,DOWN,0.04,1646.27,1613.10,5.0000,5.0,+0.20,+4.0,guardian_exit,2,closed
2026-06-10 07:05,2026-06-10 09:18,AVAXUSDT,ic32_regime_v1,SHORT,0.73,6.5357,6.4692,6.4071,6.7072,0.064312,+2.1,+1.5,0.75,DOWN,0.05,6.6750,6.4360,5.0000,5.0,+0.25,+5.0,guardian_exit,2,closed
2026-06-10 05:05,2026-06-10 08:43,AVAXUSDT,ic32_regime_v1,SHORT,0.69,6.5497,6.4562,6.4196,6.7305,0.065078,+2.3,+1.7,0.72,DOWN,0.07,6.6980,6.4360,5.0000,5.0,+0.35,+7.1,guardian_exit,3,closed
2026-06-10 03:05,2026-06-10 05:38,AVAXUSDT,ic32_regime_v1,SHORT,0.69,6.5707,6.4962,6.4324,6.7326,0.069155,+1.9,+2.1,0.85,DOWN,0.10,6.6980,6.4360,5.0000,5.0,+0.28,+5.6,guardian_exit,2,closed
2026-06-10 01:05,2026-06-10 05:38,NEARUSDT,ic32_regime_v1,SHORT,0.69,2.1409,2.0580,2.0290,2.2880,0.055959,+5.6,+5.1,0.76,UP,0.08,2.2600,2.0320,5.0000,5.0,+0.96,+19.3,guardian_exit,4,closed
