Opened,Closed,Coin,Model,Direction,Conf,Entry,Exit,TP,SL,ATR,% to H4Hi,% to H4Lo,RR,H4 Trend,Vol Regime,H4 High,H4 Low,Qty,Leverage,PnL ($),PnL (%),Exit Reason,Hold Bars,Status
2026-06-14 01:05,2026-06-14 03:38,NEARUSDT,tb_widyawardhana_v3,LONG,0.42,2.1121,2.1340,2.1860,2.0629,0.032760,+3.5,+1.5,1.50,UP,0.05,2.1860,2.0810,2.5000,5.0,+0.11,+4.4,manual_close,2,closed
2026-06-14 00:05,2026-06-14 10:26,DOTUSDT,tb_widyawardhana_v3,SHORT,0.43,0.977511,0.972000,0.961948,0.995891,0.00778125,+1.5,+0.3,0.85,UP,0.07,0.992000,0.975000,5.0000,5.0,+0.12,+2.4,manual_close,10,closed
2026-06-14 00:05,2026-06-14 05:55,ONDOUSDT,tb_widyawardhana_v3,SHORT,0.51,0.363318,0.360100,0.354140,0.374195,0.00458912,+2.4,+0.4,0.84,UP,0.07,0.371900,0.361800,2.5000,5.0,+0.09,+3.6,reconciled,5,closed
2026-06-14 00:05,2026-06-14 04:19,TONUSDT,tb_widyawardhana_v3,LONG,0.48,1.7232,1.7019,1.7644,1.6787,0.020624,+2.3,+2.0,0.93,UP,0.10,1.7635,1.6890,5.0000,5.0,-0.33,-6.6,guardian_exit,4,closed
2026-06-13 23:05,2026-06-14 04:39,LINKUSDT,tb_widyawardhana_v3,LONG,0.42,7.9770,7.9240,8.0731,7.9049,0.048036,+0.8,+0.5,1.33,UP,0.08,8.0390,7.9340,5.0000,5.0,-0.19,-3.7,guardian_exit,5,closed
2026-06-13 23:05,2026-06-14 00:44,ARBUSDT,tb_widyawardhana_v3,LONG,0.42,0.085403,0.084287,0.086833,0.084330,0.00071537,+1.1,+0.3,1.33,UP,0.08,0.086360,0.085110,5.0000,5.0,-0.35,-6.9,sl_hit,1,closed
2026-06-13 22:05,2026-06-14 04:39,ETHUSDT,tb_widyawardhana_v3,LONG,0.42,1684.81,1677.22,1700.86,1666.49,8.0253,+0.1,+0.8,0.88,UP,0.14,1685.98,1670.50,5.0000,5.0,-0.13,-2.6,guardian_exit,6,closed
2026-06-13 22:05,2026-06-14 04:39,SUIUSDT,tb_widyawardhana_v3,LONG,0.42,0.769184,0.763018,0.782299,0.758821,0.00655720,+1.0,+0.9,1.27,UP,0.05,0.776700,0.762100,5.0000,5.0,-0.22,-4.4,guardian_exit,6,closed
2026-06-13 20:05,2026-06-14 09:14,ADAUSDT,tb_widyawardhana_v3,LONG,0.43,0.171786,0.170315,0.174918,0.169436,0.00156630,+2.3,-0.1,1.33,UP,0.15,0.175700,0.171900,5.0000,5.0,-0.23,-4.7,guardian_exit,13,closed
2026-06-13 18:05,2026-06-13 23:09,TONUSDT,tb_widyawardhana_v3,LONG,0.44,1.7398,1.7148,1.7832,1.7072,0.021705,-1.2,+2.9,1.33,UP,0.09,1.7195,1.6890,5.0000,5.0,-0.38,-7.6,guardian_exit,5,closed
2026-06-13 17:05,2026-06-14 08:19,HBARUSDT,tb_widyawardhana_v3,LONG,0.43,0.078169,0.079000,0.079096,0.077474,0.00046348,+1.0,+0.4,1.33,UP,0.05,0.078940,0.077850,5.0000,5.0,+0.25,+4.9,guardian_momentum_exit,15,closed
2026-06-13 17:05,2026-06-14 05:14,1000PEPEUSDT,tb_widyawardhana_v3,LONG,0.43,0.00284322,0.00282189,0.00288893,0.00280894,0.00002286,+0.9,+0.7,1.33,UP,0.10,0.00286880,0.00282420,5.0000,5.0,-0.21,-4.2,guardian_exit,12,closed
2026-06-13 05:05,2026-06-13 07:21,AVAXUSDT,ic32_regime_v1,SHORT,0.74,6.5937,6.6563,6.4972,6.6661,0.048249,+0.6,+0.9,1.33,DOWN,0.04,6.6330,6.5330,10.0000,5.0,-0.48,-4.8,guardian_exit,2,closed
2026-06-13 04:05,2026-06-13 06:37,DOTUSDT,ic32_regime_v1,SHORT,0.74,0.963518,0.974487,0.945346,0.977147,0.00908576,+0.9,+1.5,1.33,UP,0.16,0.972000,0.949000,10.0000,5.0,-0.58,-5.8,guardian_exit,2,closed
2026-06-13 00:05,2026-06-13 04:42,1000SHIBUSDT,ic32_regime_v1,LONG,0.80,0.00484142,0.00488855,0.00491090,0.00477963,0.00003474,+0.9,+0.9,1.12,UP,0.07,0.00488300,0.00479700,10.0000,5.0,+0.48,+4.8,guardian_exit,4,closed
2026-06-12 19:05,2026-06-12 23:22,AVAXUSDT,ic32_regime_v1,LONG,0.74,6.5993,6.5357,6.7410,6.4786,0.070866,+1.5,+1.3,1.17,DOWN,0.04,6.6950,6.5140,10.0000,5.0,-0.49,-4.9,guardian_exit,4,closed
2026-06-12 18:05,2026-06-13 03:52,DOTUSDT,ic32_regime_v1,LONG,0.89,0.957478,0.968515,0.982298,0.937795,0.012410,+1.7,+1.4,1.26,UP,0.16,0.974000,0.944000,10.0000,5.0,+0.57,+5.7,guardian_exit,9,closed
2026-06-12 18:05,2026-06-13 05:32,1000PEPEUSDT,ic32_regime_v1,LONG,0.74,0.00282051,0.00279140,0.00289034,0.00276384,0.00003492,+1.9,+1.4,1.23,UP,0.06,0.00287390,0.00278130,10.0000,5.0,-0.52,-5.2,guardian_exit,11,closed
2026-06-12 14:05,2026-06-12 14:57,LINKUSDT,ic32_regime_v1,SHORT,0.63,7.8271,7.9729,7.6956,7.9689,0.065762,+1.4,+1.0,0.93,DOWN,0.29,7.9360,7.7460,10.0000,5.0,-0.94,-9.4,sl_hit,0,closed
2026-06-12 13:05,2026-06-12 15:02,ETHUSDT,ic32_regime_v1,SHORT,0.61,1664.40,1691.35,1642.34,1690.50,11.0270,+1.2,+0.8,0.84,UP,0.04,1684.99,1651.17,10.0000,5.0,-0.82,-8.2,sl_hit,1,closed
2026-06-12 12:05,2026-06-12 13:45,AVAXUSDT,ic32_regime_v1,SHORT,0.61,6.6267,6.5480,6.5230,6.7119,0.049824,+0.9,+1.6,1.22,UP,0.08,6.6870,6.5230,10.0000,5.0,+0.59,+5.9,reconciled,1,closed
2026-06-12 12:05,2026-06-12 15:02,SUIUSDT,ic32_regime_v1,SHORT,0.72,0.756022,0.765382,0.743531,0.765923,0.00624555,+0.9,+1.5,1.26,UP,0.07,0.762800,0.744600,10.0000,5.0,-0.63,-6.3,guardian_exit,2,closed
2026-06-12 10:05,2026-06-12 13:02,HBARUSDT,ic32_regime_v1,LONG,0.76,0.079600,0.078821,0.080997,0.078071,0.00069843,+1.1,+1.5,0.91,UP,0.07,0.080470,0.078420,5.0000,5.0,-0.25,-5.0,guardian_exit,2,closed
2026-06-12 02:05,2026-06-12 04:11,DOGEUSDT,ic32_regime_v1,SHORT,0.65,0.085847,0.086633,0.084340,0.086987,0.00059354,+1.0,+1.8,1.32,UP,0.05,0.086690,0.084340,5.0000,5.0,-0.23,-4.7,guardian_exit,2,closed
2026-06-12 02:05,2026-06-12 09:22,SUIUSDT,ic32_regime_v1,LONG,0.81,0.751375,0.761419,0.765971,0.739651,0.00729787,+1.9,+1.1,1.24,UP,0.06,0.765700,0.743300,5.0000,5.0,+0.33,+6.6,guardian_exit,7,closed
2026-06-12 01:05,2026-06-12 09:22,SUIUSDT,ic32_regime_v1,LONG,0.71,0.751476,0.761419,0.769800,0.739373,0.00785446,+2.4,+1.1,1.51,UP,0.15,0.769800,0.743300,5.0000,5.0,+0.33,+6.5,guardian_exit,8,closed
2026-06-12 00:05,2026-06-12 13:10,TRXUSDT,ic32_regime_v1,SHORT,0.60,0.315702,0.312100,0.308420,0.321220,0.00229985,+1.4,+2.3,1.32,DOWN,0.36,0.320070,0.308420,5.0000,5.0,+0.28,+5.6,reconciled,13,closed
2026-06-12 00:05,2026-06-12 04:16,1000PEPEUSDT,ic32_regime_v1,SHORT,0.64,0.00278391,0.00281571,0.00272832,0.00285510,0.00002779,+2.1,+1.8,0.78,UP,0.04,0.00284120,0.00273450,5.0000,5.0,-0.29,-5.8,guardian_exit,4,closed
2026-06-11 21:05,2026-06-12 06:31,BNBUSDT,ic32_regime_v1,SHORT,0.70,603.1283,598.7292,595.2748,609.9534,3.9267,+0.8,+1.1,1.15,UP,0.03,607.9900,596.4000,5.0000,5.0,+0.18,+3.6,guardian_exit,9,closed
2026-06-11 17:05,2026-06-11 19:31,DOTUSDT,ic32_regime_v1,LONG,0.80,0.943471,0.968515,0.963844,0.927907,0.010186,+1.6,+1.1,1.31,UP,0.13,0.959000,0.933000,2.5000,5.0,+0.33,+13.1,guardian_momentum_exit,2,closed
2026-06-11 13:05,2026-06-11 15:06,HBARUSDT,ic32_regime_v1,LONG,0.77,0.078469,0.077631,0.079531,0.077304,0.00053112,+1.1,+1.1,0.91,UP,0.08,0.079350,0.077570,5.0000,5.0,-0.27,-5.4,guardian_exit,2,closed
2026-06-11 09:05,2026-06-11 17:41,SUIUSDT,ic32_regime_v1,SHORT,0.71,0.750625,0.764282,0.726100,0.766007,0.00841327,+1.5,+3.3,1.59,UP,0.05,0.761800,0.726100,5.0000,5.0,-0.46,-9.2,guardian_exit,8,closed
2026-06-11 08:05,2026-06-11 11:31,ARBUSDT,ic32_regime_v1,SHORT,0.72,0.080350,0.081551,0.077410,0.083529,0.00121893,+3.2,+3.7,0.92,UP,0.04,0.082920,0.077410,5.0000,5.0,-0.38,-7.5,guardian_exit,3,closed
