bar_in,bar_out,direction,entry,exit,tp,sl,rr,outcome,net_pnl,equity,modal_used,partial_bar,partial_pnl,partial_price,partial_ratio
12024,12026,SHORT,1.127436e-05,1.1255625e-05,1.0861654242053504e-05,1.1743176439486625e-05,0.88,GUARDIAN_EXIT,0.0431,-6.2736,10.0,,0.0,,
12038,12073,SHORT,1.165417e-05,1.1659997085e-05,1.1132473152284677e-05,1.2320424211928831e-05,0.78,GUARDIAN_MOMENTUM_PARTIAL,0.4284,-5.8452,10.0,12042.0,0.4709,1.1e-05,0.5
12082,12116,LONG,1.098549e-05,1.0717256277150433e-05,1.125501965622638e-05,1.0722617585943404e-05,1.03,LOSS,-0.3898,-6.235,10.0,12086.0,0.2506,1.1e-05,0.5
12089,12091,SHORT,1.1104445000000001e-05,1.1303371197176382e-05,1.0873555655966493e-05,1.1297722336008379e-05,1.19,LOSS,-0.9357,-7.1708,10.0,,0.0,,
12112,12116,SHORT,1.1094450000000002e-05,1.0855425e-05,1.0833303175980582e-05,1.1325286706004855e-05,1.13,GUARDIAN_MOMENTUM_EXIT,1.0372,-6.1335,10.0,,0.0,,
12127,12162,LONG,1.1025509999999999e-05,1.1019997244999999e-05,1.13e-05,1.0748852851347369e-05,0.99,GUARDIAN_MOMENTUM_PARTIAL,0.3205,-5.813,10.0,12130.0,0.363,1.1e-05,0.5
12128,12130,LONG,1.108554e-05,1.1184405e-05,1.1340183448662453e-05,1.0746339137834388e-05,0.75,GUARDIAN_MOMENTUM_EXIT,0.4059,-5.4071,10.0,,0.0,,
12134,12170,SHORT,1.121439e-05,1.1219997195e-05,1.0903815750580414e-05,1.1637643562354895e-05,0.73,TIMEOUT_MOMENTUM,0.1802,-5.2269,10.0,12147.0,0.2227,1.1e-05,0.5
12188,12224,SHORT,1.135432e-05,1.135999716e-05,1.1081457820892856e-05,1.1568215544776787e-05,1.28,TIMEOUT_MOMENTUM,0.1552,-5.0717,10.0,12193.0,0.1977,1.1e-05,0.5
12194,12200,SHORT,1.135432e-05,1.1205599999999998e-05,1.1128916250699679e-05,1.153635093732508e-05,1.24,GUARDIAN_EXIT,0.6149,-4.4568,10.0,,0.0,,
