2026-06-18 10:15:04 | INFO     | evaluator | [XRPUSDT] Winrate: 51.43% (18W / 17L / 35 trades | time_exit=2) | Sharpe=1.35 Sortino=2.07 Calmar=3.30 PF=1.37
2026-06-18 10:15:04 | INFO     | evaluator | [XRPUSDT] Lev 5.0x -> PnL: $+4.11 | DD: 54.57%
2026-06-18 10:15:04 | INFO     | evaluator | [XRPUSDT] Winrate: 45.95% (34W / 40L / 74 trades | time_exit=2) | Sharpe=1.53 Sortino=2.24 Calmar=0.86 PF=1.07
2026-06-18 10:15:04 | INFO     | evaluator | [XRPUSDT] Lev 5.0x -> PnL: $+1.75 | DD: 71.98%
2026-06-18 10:15:05 | INFO     | evaluator | [DOGEUSDT] Winrate: 61.45% (51W / 32L / 83 trades | time_exit=7) | Sharpe=2.60 Sortino=2.86 Calmar=55.14 PF=2.05
2026-06-18 10:15:05 | INFO     | evaluator | [DOGEUSDT] Lev 5.0x -> PnL: $+26.78 | DD: 87.43%
2026-06-18 10:15:05 | INFO     | evaluator | [DOGEUSDT] Winrate: 60.00% (51W / 34L / 85 trades | time_exit=9) | Sharpe=1.84 Sortino=7.23 Calmar=15.76 PF=1.54
2026-06-18 10:15:05 | INFO     | evaluator | [DOGEUSDT] Lev 5.0x -> PnL: $+15.27 | DD: 95.22%
2026-06-18 10:15:05 | INFO     | evaluator | [DOGEUSDT] Winrate: 58.33% (49W / 35L / 84 trades | time_exit=8) | Sharpe=2.39 Sortino=9.98 Calmar=22.53 PF=1.66
2026-06-18 10:15:05 | INFO     | evaluator | [DOGEUSDT] Lev 5.0x -> PnL: $+18.59 | DD: 98.43%
2026-06-18 10:15:06 | INFO     | evaluator | [DOGEUSDT] Winrate: 60.53% (46W / 30L / 76 trades | time_exit=11) | Sharpe=2.22 Sortino=2.74 Calmar=23.72 PF=1.63
2026-06-18 10:15:06 | INFO     | evaluator | [DOGEUSDT] Lev 5.0x -> PnL: $+15.39 | DD: 64.25%
