Opened,Closed,Coin,Model,Direction,Conf,Entry,Exit,TP,SL,ATR,% to H4Hi,% to H4Lo,RR,H4 Trend,Vol Regime,H4 High,H4 Low,Qty,Leverage,PnL ($),PnL (%),Exit Reason,Hold Bars,Status
2026-05-11 19:05,2026-05-12 14:35,POLUSDT,cascade_v2,LONG,0.97,0.102711,0.099740,0.104233,0.099789,0.00076105,+1.4,+2.5,0.52,DOWN,0.06,0.104140,0.100170,100.0000,5.0,-14.55,-14.6,sl_hit,19,closed
2026-05-11 09:05,2026-05-11 15:15,BNBUSDT,cascade_v2,LONG,0.96,652.1459,659.0036,659.3333,643.4032,3.5937,+0.7,+1.1,0.82,DOWN,0.03,656.6300,645.2000,100.0000,5.0,+5.18,+5.2,tp_hit,6,closed
2026-05-11 04:05,2026-05-12 04:10,ETHUSDT,cascade_v2,LONG,0.75,2329.69,2306.51,2422.52,2253.63,19.6028,+4.0,+2.8,1.22,DOWN,0.07,2422.52,2263.43,100.0000,5.0,-5.06,-5.1,time_exit,24,closed
2026-05-11 04:05,2026-05-11 15:30,ADAUSDT,cascade_v2,LONG,0.96,0.275738,0.282935,0.283077,0.266365,0.00366936,+1.1,+2.7,0.78,DOWN,0.09,0.278700,0.268200,100.0000,5.0,+12.97,+13.0,tp_hit,11,closed
2026-05-10 22:05,2026-05-11 22:10,DOTUSDT,cascade_v2,LONG,0.88,1.3747,1.3653,1.4195,1.3158,0.022429,+1.3,+3.5,0.76,UP,0.38,1.3920,1.3270,100.0000,5.0,-3.49,-3.5,time_exit,24,closed
2026-05-10 21:05,2026-05-10 22:22,BNBUSDT,cascade_v2,LONG,0.90,652.7862,660.8483,661.1789,643.1018,4.1963,+0.6,+1.2,0.87,UP,0.37,656.6300,645.2000,100.0000,5.0,+6.10,+6.1,tp_hit,1,closed
2026-05-10 21:05,2026-05-10 22:42,DOGEUSDT,cascade_v2,LONG,0.99,0.108114,0.111234,0.111290,0.104837,0.00136691,+2.9,+2.4,0.97,UP,0.32,0.111290,0.105520,100.0000,5.0,+14.35,+14.3,tp_hit,1,closed
2026-05-10 21:05,2026-05-11 16:10,SOLUSDT,cascade_v2,LONG,0.99,94.8674,96.9913,97.0398,93.2381,1.0862,-0.7,+7.7,1.33,UP,0.31,94.1600,87.5600,100.0000,5.0,+11.11,+11.1,tp_hit,19,closed
2026-05-10 19:05,2026-05-10 20:47,SOLUSDT,cascade_v2,LONG,1.00,96.0080,94.7756,97.5879,94.8230,0.789961,-1.9,+8.8,1.33,UP,0.45,94.1600,87.5600,100.0000,5.0,-6.50,-6.5,sl_hit,1,closed
2026-05-10 16:05,2026-05-10 17:22,SOLUSDT,cascade_v2,LONG,0.94,94.3672,95.4891,95.5369,93.4899,0.584856,-0.2,+7.2,1.33,UP,0.29,94.1600,87.5600,100.0000,5.0,+5.86,+5.9,tp_hit,1,closed
2026-05-10 11:05,2026-05-10 15:47,AVAXUSDT,cascade_v2,SHORT,0.72,9.9890,10.1577,9.3640,10.1526,0.069183,+1.3,+6.3,3.82,UP,0.06,10.1180,9.3640,100.0000,5.0,-8.52,-8.5,sl_hit,4,closed
2026-05-09 11:05,2026-05-09 12:07,TRXUSDT,cascade_v2,LONG,0.98,0.351410,0.353385,0.353385,0.337330,0.00098764,+0.1,+4.0,0.14,UP,0.05,0.351810,0.337330,100.0000,5.0,+2.73,+2.7,tp_hit,1,closed
