bar_in,bar_out,direction,entry,exit,tp,sl,rr,outcome,net_pnl,equity,modal_used,partial_bar,partial_pnl,partial_price,partial_ratio
30870,30876,SHORT,8.199898000000001,8.358290260188557,7.994277728550985,8.354113203586763,1.33,LOSS,-0.2458,172.1979,10.0,30872.0,0.2671,8.113054,0.5
30900,30911,LONG,8.1790875,8.631682,8.729074563265563,7.57550323418361,0.91,GUARDIAN_EXIT,2.7268,174.9246,10.0,,0.0,,
30980,30992,SHORT,9.3583185,9.563554258108555,9.091043339102374,9.558774870673219,1.33,LOSS,0.0671,174.9917,10.0,30985.0,0.6453,9.117556,0.5
31041,31043,SHORT,10.083955500000002,8.908451999999999,9.424083189205552,10.926968077698612,0.78,GUARDIAN_MOMENTUM_EXIT,5.7886,180.7803,10.0,,0.0,,
31108,31111,SHORT,10.456769,10.2201075,10.204847808791262,10.732980297802184,0.91,GUARDIAN_MOMENTUM_EXIT,1.0916,181.8719,10.0,,0.0,,
31109,31111,SHORT,10.416789000000001,10.2201075,10.156323967619096,10.735116258095227,0.82,GUARDIAN_MOMENTUM_EXIT,0.9041,182.776,10.0,,0.0,,
31110,31111,SHORT,10.492751,10.2201075,10.226747971936549,10.736500757015863,1.09,GUARDIAN_MOMENTUM_EXIT,1.2592,184.0352,10.0,,0.0,,
31112,31147,LONG,10.269131999999999,10.263997434,10.67,9.971096960857588,1.35,GUARDIAN_MOMENTUM_PARTIAL,0.417,184.4522,10.0,31116.0,0.4595,10.456769,0.5
31256,31291,SHORT,11.4712615,11.47699713075,10.802025437368886,12.056309015657778,1.14,GUARDIAN_MOMENTUM_PARTIAL,0.482,184.9342,10.0,31260.0,0.5245,11.231613,0.5
31257,31259,SHORT,11.502246,10.976485499999999,10.845708079053034,12.053134480236741,1.19,GUARDIAN_MOMENTUM_EXIT,2.2455,187.1797,10.0,,0.0,,
31277,31283,SHORT,10.542726,11.108211703705564,9.884084505924779,11.102660373518805,1.18,LOSS,-1.0164,186.1633,10.0,31281.0,0.3545,10.394194,0.5
31286,31297,LONG,10.759376999999999,10.452771,11.338167267778475,10.08930243305538,0.86,GUARDIAN_EXIT,-1.4648,184.6984,10.0,,0.0,,
